name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Meteorite Hills 01272,16504,Valid,L5,113.2,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01273,16505,Valid,H6,113.1,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01274,16506,Valid,H6,131.9,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01275,16507,Valid,L5,47.3,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01276,16508,Valid,H5,61.4,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01277,16509,Valid,L5,54.6,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01278,16510,Valid,LL6,43,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01279,16511,Valid,LL5,30.6,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01280,16512,Valid,L5,63.2,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01281,16513,Valid,L5,37.5,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01282,16514,Valid,L5,27.7,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01283,16515,Valid,H6,17,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01284,16516,Valid,LL5,19.4,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01285,16517,Valid,L5,53.4,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01286,16518,Valid,LL5,82.6,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01287,16519,Valid,L5,29.8,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01288,16520,Valid,L5,17.7,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01289,16521,Valid,LL5,23.7,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01290,16522,Valid,H6,17.2,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01291,16523,Valid,H6,18.9,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01292,16524,Valid,LL6,7.8,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01293,16525,Valid,H5,17.8,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01294,16526,Valid,H6,9.7,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01295,16527,Valid,H5,30,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01296,16528,Valid,H5,10.9,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01297,16529,Valid,LL6,19.4,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01298,16530,Valid,L5,7.4,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01299,16531,Valid,L5,14,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01300,16532,Valid,L6,4.2,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01301,16533,Valid,L5,5.5,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01302,16534,Valid,LL5,4.6,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01303,16535,Valid,LL5,6.9,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01304,16536,Valid,LL6,9.2,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01305,16537,Valid,L5,39.2,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01306,16538,Valid,H5,4.8,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01307,16539,Valid,LL6,8.7,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01308,16540,Valid,L5,13.5,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01309,16541,Valid,H5,4.9,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01310,16542,Valid,L5,8.2,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01311,16543,Valid,H5,14.3,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01312,16544,Valid,L5,12,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01313,16545,Valid,H5,6.5,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01314,16546,Valid,H5,3.4,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01315,16547,Valid,L5,4.5,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01316,16548,Valid,L5,5.6,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01317,16549,Valid,H5,1.3,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01318,16550,Valid,L5,10.6,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01319,16551,Valid,L5,14.7,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01320,16552,Valid,LL5,3.3,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01321,16553,Valid,H5,15.4,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01322,16554,Valid,L3.6,8.4,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01323,16555,Valid,L5,7,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01324,16556,Valid,L5,10.9,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01325,16557,Valid,L5,29.8,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Meteorite Hills 01326,16558,Valid,L5,10.9,Found,2001,-79.68333,159.75,"(-79.683330, 159.750000)"
Miller Butte 01001,16647,Valid,L5,6260,Found,2001,-72.68417,161.31583,"(-72.684170, 161.315830)"
Mount Walton 01001,16807,Valid,H4/5,271.6,Found,2001,-72.45,160.335,"(-72.450000, 160.335000)"
Northwest Africa 1196,17147,Valid,L4/5,43,Found,2001,30.808,-5.85583,"(30.808000, -5.855830)"
Northwest Africa 1578,17337,Valid,L6,1549,Found,2001,31.6,-4.38333,"(31.600000, -4.383330)"
Northwest Africa 1579,17338,Valid,L5,5200,Found,2001,31.5,-4.85,"(31.500000, -4.850000)"
Northwest Africa 1580,17339,Valid,L6,5700,Found,2001,31.33333,-4,"(31.333330, -4.000000)"
Northwest Africa 1581,17340,Valid,L6,50200,Found,2001,31.38333,-4.25,"(31.383330, -4.250000)"
Northwest Africa 2251,30911,Valid,Howardite,17,Found,2001,27.96667,-7.95,"(27.966670, -7.950000)"
Northwest Africa 2255,30915,Valid,L5,110.7,Found,2001,27.93333,-7.78333,"(27.933330, -7.783330)"
Northwest Africa 2256,30916,Valid,H5,215.4,Found,2001,27.76667,-7.66667,"(27.766670, -7.666670)"
Northwest Africa 2257,30917,Valid,L6,47.9,Found,2001,28.5,-7.9,"(28.500000, -7.900000)"
Northwest Africa 2258,30918,Valid,L6,57.4,Found,2001,28.58333,-7.96667,"(28.583330, -7.966670)"
Northwest Africa 2259,30919,Valid,H5,485,Found,2001,28.6,-7.98333,"(28.600000, -7.983330)"
Northwest Africa 2260,30920,Valid,L5,59.3,Found,2001,27.93333,-7.9,"(27.933330, -7.900000)"
Northwest Africa 2262,30922,Valid,L6,139,Found,2001,27.8,-7.95,"(27.800000, -7.950000)"
Northwest Africa 2265,30925,Valid,L3.8,40,Found,2001,28.66667,-7.53333,"(28.666670, -7.533330)"
Northwest Africa 2266,30926,Valid,L3.8-6,33.9,Found,2001,28.75,-7.58333,"(28.750000, -7.583330)"
Northwest Africa 455,17723,Valid,H4,81,Found,2001,26.784,-12.8335,"(26.784000, -12.833500)"
Northwest Africa 456,17724,Valid,H5/6,359,Found,2001,26.784,-12.8335,"(26.784000, -12.833500)"
Northwest Africa 457,17725,Valid,H6,175,Found,2001,31.36817,-4.01683,"(31.368170, -4.016830)"
Northwest Africa 458,17726,Valid,L6,387,Found,2001,26.784,-12.8335,"(26.784000, -12.833500)"
Northwest Africa 459,17727,Valid,H3,300,Found,2001,31.36817,-4.01683,"(31.368170, -4.016830)"
Northwest Africa 460,17728,Valid,H6,655,Found,2001,31.36817,-4.01683,"(31.368170, -4.016830)"
Northwest Africa 461,17729,Valid,H5,171,Found,2001,26.784,-12.8335,"(26.784000, -12.833500)"
Northwest Africa 462,17730,Valid,L6,40.5,Found,2001,26.784,-12.8335,"(26.784000, -12.833500)"
Northwest Africa 463,17731,Valid,L6,15,Found,2001,26.784,-12.8335,"(26.784000, -12.833500)"
Northwest Africa 464,17732,Valid,H3,159,Found,2001,31.36817,-4.01683,"(31.368170, -4.016830)"
Northwest Africa 465,17733,Valid,H5,413.5,Found,2001,26.784,-12.8335,"(26.784000, -12.833500)"
Northwest Africa 466,17734,Valid,L6,46,Found,2001,31.36817,-4.01683,"(31.368170, -4.016830)"
Northwest Africa 840,17866,Valid,H5,2875,Found,2001,30.19267,-9.03667,"(30.192670, -9.036670)"
Northwest Africa 841,17867,Valid,L6,8012,Found,2001,30.19267,-9.03667,"(30.192670, -9.036670)"
Northwest Africa 844,17870,Valid,H3,629,Found,2001,30.808,-5.85583,"(30.808000, -5.855830)"
Northwest Africa 845,17871,Valid,R4,36,Found,2001,30.808,-5.85583,"(30.808000, -5.855830)"
Northwest Africa 850,17875,Valid,H5,5300,Found,2001,30.40667,-5.89233,"(30.406670, -5.892330)"
Northwest Africa 852,17877,Valid,CR2,174,Found,2001,30.808,-5.85583,"(30.808000, -5.855830)"
Paposo,31285,Valid,LL6,2000,Found,2001,-25.14333,-70.32,"(-25.143330, -70.320000)"
Payson,18178,Valid,L6,1728,Found,2001,34.23333,-111.4,"(34.233330, -111.400000)"
Point Berliet,18854,Valid,H5,42000,Found,2001,20.537,9.53783,"(20.537000, 9.537830)"
Red Dry Lake 002,22539,Valid,H6,21.5,Found,2001,35.65306,-114.02437,"(35.653060, -114.024370)"
Red Dry Lake 003,22540,Valid,H6,94,Found,2001,35.64552,-114.03069,"(35.645520, -114.030690)"
Red Dry Lake 004,22541,Valid,H6,13.5,Found,2001,35.6464,-114.02849,"(35.646400, -114.028490)"
Red Dry Lake 005,22542,Valid,H6,12,Found,2001,35.64645,-114.02853,"(35.646450, -114.028530)"
Red Dry Lake 006,22543,Valid,H4,40,Found,2001,35.62705,-114.04336,"(35.627050, -114.043360)"
Red Dry Lake 009,22544,Valid,H3.6,13,Found,2001,35.62723,-114.04323,"(35.627230, -114.043230)"
Roach Dry Lake 006,22619,Valid,H6,6.53,Found,2001,35.68345,-115.34703,"(35.683450, -115.347030)"
Roach Dry Lake 021,32763,Valid,H6,59.2,Found,2001,35.67298,-115.36717,"(35.672980, -115.367170)"
Roosevelt County 106,22761,Valid,L6,98.8,Found,2001,34.21667,-103.93333,"(34.216670, -103.933330)"
San Juan 001,23126,Valid,L5,1229,Found,2001,-25.575,-69.795,"(-25.575000, -69.795000)"
Sayh al Uhaymir 057,23249,Valid,H6,88,Found,2001,21.06167,57.32667,"(21.061670, 57.326670)"
Sayh al Uhaymir 058,23250,Valid,L5,35,Found,2001,20.45667,56.65667,"(20.456670, 56.656670)"
Sayh al Uhaymir 059,23251,Valid,H4,62,Found,2001,20.54167,56.67833,"(20.541670, 56.678330)"
Sayh al Uhaymir 060,23252,Valid,Martian (shergottite),42.28,Found,2001,20.98,57.31833,"(20.980000, 57.318330)"
Sayh al Uhaymir 062,23254,Valid,L4,14,Found,2001,21.06,57.29,"(21.060000, 57.290000)"
Sayh al Uhaymir 064,23256,Valid,H5,216,Found,2001,21,57.31,"(21.000000, 57.310000)"
Sayh al Uhaymir 065,23257,Valid,H5,58,Found,2001,21.035,57.26806,"(21.035000, 57.268060)"
Sayh al Uhaymir 068,23260,Valid,H5,1165,Found,2001,21.32667,57.17833,"(21.326670, 57.178330)"
Sayh al Uhaymir 069,23261,Valid,H6,311.9,Found,2001,20.819,57.33967,"(20.819000, 57.339670)"
Sayh al Uhaymir 070,23262,Valid,L5/6,760.1,Found,2001,20.77517,57.28167,"(20.775170, 57.281670)"
Sayh al Uhaymir 071,23263,Valid,H5/6,931.9,Found,2001,20.819,57.26367,"(20.819000, 57.263670)"
Sayh al Uhaymir 072,23264,Valid,H5,6750,Found,2001,20.63817,57.169,"(20.638170, 57.169000)"
Sayh al Uhaymir 073,23265,Valid,H5,1899.1,Found,2001,20.6515,57.169,"(20.651500, 57.169000)"
Sayh al Uhaymir 074,23266,Valid,H5,410.5,Found,2001,20.6275,57.16433,"(20.627500, 57.164330)"
Sayh al Uhaymir 075,23267,Valid,H3-5,4261.2,Found,2001,20.6845,57.14067,"(20.684500, 57.140670)"
Sayh al Uhaymir 076,23268,Valid,L6,1024.9,Found,2001,20.7325,57.122,"(20.732500, 57.122000)"
Sayh al Uhaymir 077,23269,Valid,H6,23.2,Found,2001,21.01183,57.33,"(21.011830, 57.330000)"
Sayh al Uhaymir 078,23270,Valid,L6,598.6,Found,2001,21.004,57.31867,"(21.004000, 57.318670)"
Sayh al Uhaymir 089,23281,Valid,L/LL3.6/3.7,2618,Found,2001,20.88167,57.2,"(20.881670, 57.200000)"
Sayh al Uhaymir 094,23286,Valid,Martian (shergottite),223.3,Found,2001,20.99115,57.33877,"(20.991150, 57.338770)"
Sayh al Uhaymir 103,23295,Valid,L6,50,Found,2001,20.98333,57.32667,"(20.983330, 57.326670)"
Sayh al Uhaymir 104,23296,Valid,H5,136,Found,2001,21.01833,57.31333,"(21.018330, 57.313330)"
Sayh al Uhaymir 105,23297,Valid,H5,34,Found,2001,21.05833,57.29167,"(21.058330, 57.291670)"
Sayh al Uhaymir 107,23299,Valid,LL6,258,Found,2001,20.92667,57.255,"(20.926670, 57.255000)"
Sayh al Uhaymir 108,23300,Valid,H6,16,Found,2001,21.06667,57.31667,"(21.066670, 57.316670)"
Sayh al Uhaymir 113,23305,Valid,H5,326,Found,2001,21.06,57.265,"(21.060000, 57.265000)"
Sayh al Uhaymir 114,23306,Valid,L5,191,Found,2001,21.04667,57.255,"(21.046670, 57.255000)"
Sayh al Uhaymir 118,23310,Valid,LL3,242,Found,2001,20.99833,57.32167,"(20.998330, 57.321670)"
Sayh al Uhaymir 122,23314,Valid,L6,130,Found,2001,21.07,57.31333,"(21.070000, 57.313330)"
Sayh al Uhaymir 123,23315,Valid,L6,120,Found,2001,21.02,57.28167,"(21.020000, 57.281670)"
Sayh al Uhaymir 124,23316,Valid,H5,184,Found,2001,21.00833,57,"(21.008330, 57.000000)"
Sayh al Uhaymir 132,23324,Valid,H5,12.34,Found,2001,21.06831,57.31564,"(21.068310, 57.315640)"
Sayh al Uhaymir 133,23325,Valid,L5,853,Found,2001,20.99867,57.29467,"(20.998670, 57.294670)"
Sayh al Uhaymir 134,23326,Valid,H5/6,190.58,Found,2001,21.03364,57.32064,"(21.033640, 57.320640)"
Sayh al Uhaymir 135,23327,Valid,L5,7.76,Found,2001,21.06481,57.27356,"(21.064810, 57.273560)"
Sayh al Uhaymir 136,23328,Valid,H5,129,Found,2001,21.06636,57.26758,"(21.066360, 57.267580)"
Sayh al Uhaymir 137,23329,Valid,L6,8.07,Found,2001,21.07128,57.10175,"(21.071280, 57.101750)"
Sayh al Uhaymir 138,23330,Valid,H5,57.37,Found,2001,21.18372,57.21008,"(21.183720, 57.210080)"
Sayh al Uhaymir 139,23331,Valid,H4/5,101.18,Found,2001,21.18697,57.20867,"(21.186970, 57.208670)"
Sayh al Uhaymir 140,23332,Valid,L4/5,2517,Found,2001,21.20769,57.21136,"(21.207690, 57.211360)"
Sayh al Uhaymir 159,23346,Valid,H4,163,Found,2001,21.01717,57.32033,"(21.017170, 57.320330)"
Sayh al Uhaymir 163,23350,Valid,H5,1877.3,Found,2001,21.03703,57.32685,"(21.037030, 57.326850)"
Sayh al Uhaymir 164,23351,Valid,H6,331.47,Found,2001,20.98353,57.20102,"(20.983530, 57.201020)"
Sayh al Uhaymir 165,23352,Valid,L5,457.15,Found,2001,21.02018,57.21147,"(21.020180, 57.211470)"
Sayh al Uhaymir 166,23353,Valid,H5,385.2,Found,2001,21.02063,57.2131,"(21.020630, 57.213100)"
Sayh al Uhaymir 167,23354,Valid,L6,68.04,Found,2001,21.16788,56.54137,"(21.167880, 56.541370)"
Sayh al Uhaymir 168,23355,Valid,H4,24.73,Found,2001,21.10517,56.9963,"(21.105170, 56.996300)"
Sayh al Uhaymir 176,33999,Valid,H6,19,Found,2001,21.04833,57.25833,"(21.048330, 57.258330)"
Sayh al Uhaymir 177,34000,Valid,LL6,48,Found,2001,20.995,57.325,"(20.995000, 57.325000)"
Sayh al Uhaymir 190,23363,Valid,L5,262,Found,2001,20.86333,56.20333,"(20.863330, 56.203330)"
Sayh al Uhaymir 193,23366,Valid,L4,52,Found,2001,20.8635,56.2035,"(20.863500, 56.203500)"
Sayh al Uhaymir 194,23367,Valid,L6,198.36,Found,2001,21.03578,57.32825,"(21.035780, 57.328250)"
Sayh al Uhaymir 202,23375,Valid,CV3,335.86,Found,2001,21.07087,57.31117,"(21.070870, 57.311170)"
Sayh al Uhaymir 281,23454,Valid,EH3,162.56,Found,2001,21,57.2,"(21.000000, 57.200000)"
Sayh al Uhaymir 310,34537,Valid,L6,94,Found,2001,21.2,57.1,"(21.200000, 57.100000)"
Sayh al Uhaymir 323,34550,Valid,H6,112,Found,2001,20.99667,57.33,"(20.996670, 57.330000)"
Sayh al Uhaymir 427,53632,Valid,CV3,59,Found,2001,21.08477,57.27598,"(21.084770, 57.275980)"
Sayh al Uhaymir 428,45920,Valid,H~5,121.9,Found,2001,21.08453,57.29322,"(21.084530, 57.293220)"
Sayh al Uhaymir 429,45921,Valid,H4,154.5,Found,2001,21.05525,57.26902,"(21.055250, 57.269020)"
Sayh al Uhaymir 430,45922,Valid,H~5,180.6,Found,2001,21.07652,57.29588,"(21.076520, 57.295880)"
Sayh al Uhaymir 431,45923,Valid,H5,22.1,Found,2001,21.0769,57.29693,"(21.076900, 57.296930)"
Sayh al Uhaymir 432,45924,Valid,L~6,62,Found,2001,21.05525,57.25815,"(21.055250, 57.258150)"
Sayh al Uhaymir 433,45925,Valid,L~6,43.3,Found,2001,21.06637,57.2648,"(21.066370, 57.264800)"
Sayh al Uhaymir 434,45926,Valid,H~5,286.1,Found,2001,21.08908,57.27265,"(21.089080, 57.272650)"
Sayh al Uhaymir 435,45927,Valid,H~5,164.6,Found,2001,21.09352,57.27558,"(21.093520, 57.275580)"
Sayh al Uhaymir 436,45928,Valid,H~5,808.1,Found,2001,21.09807,57.28043,"(21.098070, 57.280430)"
Sayh al Uhaymir 437,45929,Valid,H~4,1358.1,Found,2001,21.08997,57.29492,"(21.089970, 57.294920)"
Sayh al Uhaymir 470,48635,Valid,H4,127.3,Found,2001,21.08787,56.94128,"(21.087870, 56.941280)"
Sevaruyo,23506,Valid,H5,12.37,Found,2001,-19.36775,-66.96787,"(-19.367750, -66.967870)"
Shalim 003,23516,Valid,H5,10350,Found,2001,18.18233,55.50183,"(18.182330, 55.501830)"
Shalim 004,23517,Valid,H5,10350,Found,2001,18.18233,55.50183,"(18.182330, 55.501830)"
Shişr 001,23539,Valid,L6,936.8,Found,2001,18.508,53.98733,"(18.508000, 53.987330)"
Shişr 002,23540,Valid,H5,88.6,Found,2001,18.5875,53.91417,"(18.587500, 53.914170)"
Shişr 004,23542,Valid,H5,325.7,Found,2001,18.58433,53.91367,"(18.584330, 53.913670)"
Shişr 005,23543,Valid,H6,445.6,Found,2001,18.46617,53.83417,"(18.466170, 53.834170)"
Shişr 007,23545,Valid,Ureilite,9024,Found,2001,18.2925,53.5675,"(18.292500, 53.567500)"
Shişr 009,23547,Valid,H4,185,Found,2001,18.56333,53.92667,"(18.563330, 53.926670)"
Shişr 010,23548,Valid,L5,17604,Found,2001,18.55,53.97,"(18.550000, 53.970000)"
Shişr 011,23549,Valid,L4,478,Found,2001,18.55833,53.91333,"(18.558330, 53.913330)"
Shişr 015,23550,Valid,L5,3409.3,Found,2001,18.54908,53.9229,"(18.549080, 53.922900)"
Shişr 016,23551,Valid,H5,84.48,Found,2001,18.4384,53.96892,"(18.438400, 53.968920)"
Shişr 017,23552,Valid,H4,12.83,Found,2001,18.42322,53.60905,"(18.423220, 53.609050)"
Shişr 018,23553,Valid,L6,116.54,Found,2001,18.53733,53.93312,"(18.537330, 53.933120)"
Shişr 019,23554,Valid,H4,1332.73,Found,2001,18.5475,53.8935,"(18.547500, 53.893500)"
Shişr 020,23555,Valid,H4-6,2200.72,Found,2001,18.55927,53.89155,"(18.559270, 53.891550)"
Shişr 021,23556,Valid,H4-6,135.23,Found,2001,18.60453,53.88757,"(18.604530, 53.887570)"
Shişr 106,35722,Valid,LL~5,379.59,Found,2001,18.19152,53.8129,"(18.191520, 53.812900)"
Shişr 107,35723,Valid,L~6,106.61,Found,2001,18.19028,53.80828,"(18.190280, 53.808280)"
Shişr 108,35724,Valid,L~5,35.41,Found,2001,18.19232,53.80368,"(18.192320, 53.803680)"
Shişr 109,35725,Valid,L~6,114.04,Found,2001,18.65415,53.92847,"(18.654150, 53.928470)"
Shişr 110,35726,Valid,H~4,853,Found,2001,18.18898,53.80485,"(18.188980, 53.804850)"
Shişr 111,35727,Valid,H~5,762.7,Found,2001,18.65213,53.92715,"(18.652130, 53.927150)"
Southampton,23682,Valid,Pallasite,3580,Found,2001,44.50642,-81.37217,"(44.506420, -81.372170)"
Stewart Valley 001,55530,Valid,H6,75.6,Found,2001,36.2058,-116.17042,"(36.205800, -116.170420)"
Stewart Valley 002,55531,Valid,L6,28.9,Found,2001,36.20758,-116.16918,"(36.207580, -116.169180)"
Stewart Valley 003,55588,Valid,H4,6.8,Found,2001,36.21153,-116.16785,"(36.211530, -116.167850)"
Stewart Valley 004,55532,Valid,L6,58.9,Found,2001,36.25547,-116.18552,"(36.255470, -116.185520)"
Stewart Valley 005,55533,Valid,L6,62,Found,2001,36.22907,-116.17935,"(36.229070, -116.179350)"
Stewart Valley 006,55534,Valid,H4,20.1,Found,2001,36.23728,-116.1722,"(36.237280, -116.172200)"
Stewart Valley 007,55535,Valid,H4,8.7,Found,2001,36.23722,-116.17242,"(36.237220, -116.172420)"
Stewart Valley 008,55536,Valid,H6,4.2,Found,2001,36.23743,-116.17223,"(36.237430, -116.172230)"
Superior Valley 003,23750,Valid,H6,65.6,Found,2001,35.24742,-117.0999,"(35.247420, -117.099900)"
Superior Valley 004,23751,Valid,L6,15.3,Found,2001,35.23533,-117.1005,"(35.235330, -117.100500)"
Superior Valley 005,23752,Valid,H6,32.92,Found,2001,35.238,-117.0365,"(35.238000, -117.036500)"
Superior Valley 006,23753,Valid,H6,78.5,Found,2001,35.23883,-117.02667,"(35.238830, -117.026670)"
Superior Valley 007,23754,Valid,L6,67.21,Found,2001,35.23833,-117.03283,"(35.238330, -117.032830)"
Superior Valley 008,23755,Valid,L6,77.44,Found,2001,35.236,-117.044,"(35.236000, -117.044000)"
Superior Valley 009,23756,Valid,L6,116.42,Found,2001,35.23583,-117.044,"(35.235830, -117.044000)"
Superior Valley 010,23757,Valid,L4,26.26,Found,2001,35.23633,-117.04317,"(35.236330, -117.043170)"
Superior Valley 011,23758,Valid,H6,2.52,Found,2001,35.23617,-117.043,"(35.236170, -117.043000)"
Tassédet 001,23881,Valid,H5,560,Found,2001,18.06833,6.66833,"(18.068330, 6.668330)"
Tassédet 002,23882,Valid,H5,9.4,Found,2001,18.237,6.51983,"(18.237000, 6.519830)"
Tassédet 003,23883,Valid,H5,12.5,Found,2001,18.30033,6.50683,"(18.300330, 6.506830)"
Tiffa 007,23997,Valid,H5,9250,Found,2001,20.20117,11.587,"(20.201170, 11.587000)"
Tiffa 008,31349,Valid,CO3,1149,Found,2001,20.35833,11.85,"(20.358330, 11.850000)"
Tule Valley,24065,Valid,L6,17.69,Found,2001,38.99861,-113.38167,"(38.998610, -113.381670)"
Tungsten Mountain 002,24073,Valid,H6,11.3,Found,2001,39.67357,-117.60432,"(39.673570, -117.604320)"
Tungsten Mountain 003,24074,Valid,H4,7.8,Found,2001,39.68449,-117.62072,"(39.684490, -117.620720)"
Tungsten Mountain 004,24075,Valid,H6,8.1,Found,2001,39.68444,-117.62022,"(39.684440, -117.620220)"
Tungsten Mountain 005,24076,Valid,L6,4.7,Found,2001,39.6844,-117.62007,"(39.684400, -117.620070)"
Tungsten Mountain 006,24077,Valid,L6,8.8,Found,2001,39.68436,-117.62018,"(39.684360, -117.620180)"
Tungsten Mountain 007,24078,Valid,H5,44,Found,2001,39.68518,-117.62105,"(39.685180, -117.621050)"
Tungsten Mountain 008,24079,Valid,H5,7,Found,2001,39.68072,-117.62778,"(39.680720, -117.627780)"
Tungsten Mountain 009,24080,Valid,H4,31,Found,2001,39.68035,-117.62918,"(39.680350, -117.629180)"
Tungsten Mountain 010,24081,Valid,H5,13.4,Found,2001,39.68432,-117.62052,"(39.684320, -117.620520)"
Umm as Samim 001,24115,Valid,H5,1847,Found,2001,21.31833,56.41667,"(21.318330, 56.416670)"
Umm as Samim 002,24116,Valid,H5,1048,Found,2001,21.32333,56.42167,"(21.323330, 56.421670)"
Umm as Samim 003,24117,Valid,H3.7,991,Found,2001,21.32,56.41667,"(21.320000, 56.416670)"
Verkhnyi Saltov,31352,Valid,"Iron, IIIAB",9530,Found,2001,50.11112,36.8001,"(50.111120, 36.800100)"
Willcox Playa 002,24274,Valid,L6,12,Found,2001,32.18167,-109.7895,"(32.181670, -109.789500)"
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002,45.82133,6.01533,"(45.821330, 6.015330)"
Bensour,5024,Valid,LL6,45000,Fell,2002,30,-7,"(30.000000, -7.000000)"
Bhawad,36591,Valid,LL6,678,Fell,2002,26.50833,73.11528,"(26.508330, 73.115280)"
Kilabo,12307,Valid,LL6,19000,Fell,2002,12.76667,9.8,"(12.766670, 9.800000)"
Maromandia,15430,Valid,L6,6000,Fell,2002,-14.2,48.1,"(-14.200000, 48.100000)"
Neuschwanstein,16950,Valid,EL6,6189,Fell,2002,47.525,10.80833,"(47.525000, 10.808330)"
San Michele,31315,Valid,L6,237,Fell,2002,43.66667,13,"(43.666670, 13.000000)"
Thuathe,23976,Valid,H4/5,45300,Fell,2002,-29.33333,27.58333,"(-29.333330, 27.583330)"
Acfer 334,341,Valid,L6,211.25,Found,2002,27.65,4.38333,"(27.650000, 4.383330)"
Acfer 335,342,Valid,H4,261,Found,2002,27.73333,4.43333,"(27.733330, 4.433330)"
Acfer 336,343,Valid,L3.8,19400,Found,2002,27.61667,4.06667,"(27.616670, 4.066670)"
Acfer 337,344,Valid,L3.8,360,Found,2002,27.68333,4.26667,"(27.683330, 4.266670)"
Acfer 338,345,Valid,H6,377.6,Found,2002,27.71667,4.26667,"(27.716670, 4.266670)"
Acfer 339,346,Valid,H5,400,Found,2002,27.55,4.2,"(27.550000, 4.200000)"
