name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Dhofar 747,7493,Valid,L3,1555,Found,2000,18.79565,54.73953,"(18.795650, 54.739530)"
Dhofar 748,7494,Valid,H6,1030,Found,2000,18.77152,54.71638,"(18.771520, 54.716380)"
Dhofar 749,7495,Valid,LL6,1730,Found,2000,18.8773,54.78035,"(18.877300, 54.780350)"
Dhofar 750,7496,Valid,L6,742,Found,2000,18.83783,54.67117,"(18.837830, 54.671170)"
Dhofar 751,7497,Valid,H6,1155,Found,2000,18.89213,54.71285,"(18.892130, 54.712850)"
Dhofar 752,7498,Valid,L6,444,Found,2000,18.72743,54.76705,"(18.727430, 54.767050)"
Dhofar 753,7499,Valid,H3/4,550,Found,2000,18.26585,54.32107,"(18.265850, 54.321070)"
Dhofar 754,7500,Valid,H4,538,Found,2000,18.85367,54.64705,"(18.853670, 54.647050)"
Dhofar 755,7501,Valid,L6,547,Found,2000,18.31667,54.23578,"(18.316670, 54.235780)"
Dhofar 756,7502,Valid,H5,362,Found,2000,18.42112,54.58853,"(18.421120, 54.588530)"
Dhofar 757,7503,Valid,H5,471,Found,2000,18.85383,54.647,"(18.853830, 54.647000)"
Dhofar 758,7504,Valid,L6,253,Found,2000,18.9645,54.75722,"(18.964500, 54.757220)"
Dhofar 759,7505,Valid,H4/5,441,Found,2000,18.73127,54.82003,"(18.731270, 54.820030)"
Dhofar 760,7506,Valid,L5,163,Found,2000,18.94455,54.67403,"(18.944550, 54.674030)"
Dhofar 761,7507,Valid,H6,107,Found,2000,19.06058,54.52113,"(19.060580, 54.521130)"
Dhofar 762,7508,Valid,H6,235,Found,2000,18.75133,54.71908,"(18.751330, 54.719080)"
Dhofar 763,7509,Valid,L5,190,Found,2000,18.86492,54.64972,"(18.864920, 54.649720)"
Dhofar 764,7510,Valid,H5,195,Found,2000,18.83062,54.76645,"(18.830620, 54.766450)"
Dhofar 765,7511,Valid,L5,135,Found,2000,18.94362,54.67067,"(18.943620, 54.670670)"
Dhofar 766,7512,Valid,H6,152,Found,2000,18.2776,54.32358,"(18.277600, 54.323580)"
Dhofar 767,7513,Valid,H6,317,Found,2000,18.8323,54.76583,"(18.832300, 54.765830)"
Dhofar 768,7514,Valid,H5/6,195,Found,2000,18.81928,54.61427,"(18.819280, 54.614270)"
Dhofar 769,7515,Valid,L6,250,Found,2000,18.96265,54.75108,"(18.962650, 54.751080)"
Dhofar 770,7516,Valid,H5/6,376,Found,2000,18.245,54.40912,"(18.245000, 54.409120)"
Dhofar 771,7517,Valid,H5,114,Found,2000,18.85012,54.62327,"(18.850120, 54.623270)"
Dhofar 772,7518,Valid,L6,9187,Found,2000,19.0855,54.76243,"(19.085500, 54.762430)"
Dhofar 773,7519,Valid,H5,295,Found,2000,18.8473,54.53538,"(18.847300, 54.535380)"
Dhofar 774,7520,Valid,L6,115,Found,2000,18.69225,54.59118,"(18.692250, 54.591180)"
Dhofar 775,7521,Valid,H5,212,Found,2000,18.90333,54.70452,"(18.903330, 54.704520)"
Dhofar 776,7522,Valid,L5,121,Found,2000,18.86208,54.67937,"(18.862080, 54.679370)"
Dhofar 777,7523,Valid,LL6,102,Found,2000,18.84122,54.7564,"(18.841220, 54.756400)"
Dhofar 778,7524,Valid,Diogenite,156,Found,2000,18.72542,54.73048,"(18.725420, 54.730480)"
